TagName,obs
MCLC_A06_C00_VAV03.Temp,controladora offline
MCLC_A06_C00_VAV03.Damper,controladora offline
MCLC_A06_C00_VAV03.VazaoMax,controladora offline
MCLC_Disp12_Control10.estado02,foi corrigido a integraÆo ponto com leitura boa
MCLC_A03_C00_VAV07.Damper,controladora offline
MCLC_A03_C00_VAV07.SPTemp,controladora offline
MCLC_A03_C00_VAV07.Temp,controladora offline
MCLC_A03_C00_VAV07.Vazao,controladora offline
MCLC_A03_C00_VAV07.VazaoMax,controladora offline
MCLC_A03_C00_VAV07.VazaoMin,controladora offline
MCLC_A03_C00_VAV22.Damper,controladora offline
MCLC_A03_C00_VAV22.SPTemp,controladora offline
MCLC_A03_C00_VAV22.Temp,controladora offline
MCLC_A03_C00_VAV22.Vazao,controladora offline
MCLC_A03_C00_VAV22.VazaoMax,controladora offline
MCLC_A03_C00_VAV22.VazaoMin,controladora offline
MCLC_A05_C00_VAV10.Damper,os pontos estado com problema de id no proprio supervisorio
MCLC_A05_C00_VAV10.SPTemp,os pontos estado com problema de id no proprio supervisorio
MCLC_A05_C00_VAV10.Temp,os pontos estado com problema de id no proprio supervisorio
MCLC_A05_C00_VAV10.Vazao,os pontos estado com problema de id no proprio supervisorio
MCLC_A05_C00_VAV10.VazaoMax,os pontos estado com problema de id no proprio supervisorio
MCLC_A05_C00_VAV10.VazaoMin,os pontos estado com problema de id no proprio supervisorio
MCLC_A06_C00_VAV03.Vazao,controladora offline
MCLC_A06_C00_VAV03.VazaoMin,controladora offline
MCLC_A10_C00_VAV06.Damper,controladora offline
MCLC_A10_C00_VAV06.SPTemp,controladora offline
MCLC_A10_C00_VAV06.Temp,controladora offline
MCLC_A10_C00_VAV06.Vazao,controladora offline
MCLC_A10_C00_VAV06.VazaoMax,controladora offline
MCLC_A10_C00_VAV06.VazaoMin,controladora offline
MCLC_A11_C00_VAV21.Damper,controladora offline
MCLC_A11_C00_VAV21.SPTemp,controladora offline
MCLC_A11_C00_VAV21.Temp,controladora offline
MCLC_A11_C00_VAV21.Vazao,controladora offline
MCLC_A11_C00_VAV21.VazaoMax,controladora offline
MCLC_A11_C00_VAV21.VazaoMin,controladora offline
MCLC_A04_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV02.confiabilidade,ponto excluido da estrutura
MCLC_A04_C00_VAV02.Damper,ponto excluido da estrutura
MCLC_A04_C00_VAV02.SPTemp,ponto excluido da estrutura
MCLC_A04_C00_VAV02.SPVazao,ponto excluido da estrutura
MCLC_A04_C00_VAV02.Temp,ponto excluido da estrutura
MCLC_A04_C00_VAV02.Vazao,ponto excluido da estrutura
MCLC_A04_C00_VAV02.VazaoMax,ponto excluido da estrutura
MCLC_A04_C00_VAV02.VazaoMin,ponto excluido da estrutura
MCLC_A04_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A04_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV22.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV23.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV24.SPVazao,ponto nescessario para air manager
MCLC_A05_C00_VAV29.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV22.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV22.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV23.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV24.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV25.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV26.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV27.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV28.SPVazao,ponto nescessario para air manager
MCLC_Pri_RExp01.confiabilidade,ponto nescessario para air manager
MCLC_A09_C00_VAV11.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV12.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV13.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV18.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV19.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV14.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV15.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV16.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV17.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV20.SPTemp,ponto nescessario para air manager
MCLC_D_ACom_QDNEAdm_M02.confiabilidade,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.consumo,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.correnteR,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.correnteS,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.correnteT,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.tensaoRS,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.tensaoST,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.tensaoTR,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_Disp01_Control01.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control01.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control01.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control02.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control02.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control02.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control03.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control03.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control03.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control04.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control04.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control04.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control05.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control05.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control05.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control06.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control06.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control06.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control07.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control07.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control07.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control08.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control08.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control09.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control09.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control09.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control10.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control10.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control10.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control11.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control11.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control11.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control12.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control12.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control12.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control14.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control14.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control14.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control15.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control15.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control16.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control17.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control17.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control17.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control18.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control18.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control18.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control19.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control19.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control19.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control20.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control20.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control20.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control21.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control21.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control21.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control22.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control23.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control23.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control23.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp02_Control01.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp02_Control12.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
